,text_label
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,nonbullying
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,bullying
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,bullying
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,bullying
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,bullying
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",bullying
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",bullying
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,bullying
""" &amp; you might not get ya bitch back &amp; thats that """,bullying
""" @rhythmixx_ :hobbies include: fighting Mariam""bitch",bullying
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",bullying
""" Murda Gang bitch its Gang Land """,bullying
""" So hoes that smoke are losers ? "" yea ... go on IG",bullying
""" bad bitches is the only thing that i like """,bullying
""" bitch get up off me """,bullying
""" bitch nigga miss me with it """,bullying
""" bitch plz whatever """,bullying
""" bitch who do you love """,bullying
""" bitches get cut off everyday B """,bullying
""" black bottle &amp; a bad bitch """,bullying
""" broke bitch cant tell me nothing """,bullying
""" cancel that bitch like Nino """,bullying
""" cant you see these hoes wont change """,bullying
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",bullying
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",bullying
""" her pussy lips like Heaven doors "" &#128524;",bullying
""" hoe what its hitting for """,bullying
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",bullying
""" i need a trippy bitch who fuck on Hennessy """,bullying
""" i spend my money how i want bitch its my business """,bullying
""" i txt my old bitch my new bitch pussy wetter """,bullying
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",bullying
""" if you aint bout that Murder Game pussy nigga shut up """,bullying
""" if you're toes ain't done you pussy stinks """,bullying
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,bullying
""" is that ya bitch """,bullying
""" it aint nothing to cut a bitch off """,bullying
""" jus meet son now he ya mane ass bitches "" #Shots",bullying
""" lames crying over hoes thats tears of a clown """,bullying
""" like Snoop said in 94 we dont love these hoes """,bullying
""" momma said no pussy cats inside my doghouse """,nonbullying
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",bullying
""" nice girls bad make me get naughty. Bad yello hoe real nice body. Down south chick like em real thick"" http://t.co/bzRDl3kF7U",bullying
""" pimps up pimps up hoes down "" Future voice",bullying
""" post a picture of that pussy get 200 likes """,bullying
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",bullying
""" quick piece of pussy call it a drive by """,bullying
""" running round here like some brand new pussy thats bout to get fucked """,bullying
""" these bitches even worst they'll send them guys for you """,bullying
""" these hoes like niggas that spend money not talk bout it """,bullying
""" we dont trust these niggas all these bitches """,bullying
""" yall niggas b cuffing hoes cause yall aint never have bitches """,bullying
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",bullying
""" young Pill Chamberlain these bitches love my music """,bullying
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",bullying
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",bullying
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",bullying
"""&amp; he's gone always be a hoe""",bullying
"""...Son of a bitch took my Tic Tacs.""I like this movie.",bullying
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",bullying
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",bullying
"""@A7XDemery: I'm a fucking fag they said""",bullying
