tweet,text_label
 rt mayasolovely: as a woman you shouldnt complain about cleaning up your house &amp; as a man you should always take the trash out,nonbullying
 rt mleew: boy dats coldtyga dwn bad for cuffin dat hoe in the st place,bullying
 rt urkindofbrand dawg rt sbabylife: you ever fuck a bitch and she start to cry you be confused as shit,bullying
 rt c_g_anderson: viva_based she look like a tranny,bullying
 rt shenikaroberts: the shit you hear about me might be true or it might be faker than the bitch who told it to ya &;,bullying
t_madison_x: the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes &;&;&;,bullying
__brighterdays: i can not just sit up and hate on another bitch  i got too much shit going on,bullying
&;selfiequeenbri: cause im tired of you big bitches coming for us skinny girls&;,bullying
 &amp; you might not get ya bitch back &amp; thats that ,bullying
 rhythmixx_ :hobbies include: fighting mariambitch,bullying
 keeks is a bitch she curves everyone  lol i walked into a conversation like this smh,bullying
 murda gang bitch its gang land ,bullying
 so hoes that smoke are losers   yea  go on ig,bullying
 bad bitches is the only thing that i like ,bullying
 bitch get up off me ,bullying
 bitch nigga miss me with it ,bullying
 bitch plz whatever ,bullying
 bitch who do you love ,bullying
 bitches get cut off everyday b ,bullying
 black bottle &amp; a bad bitch ,bullying
 broke bitch cant tell me nothing ,bullying
 cancel that bitch like nino ,bullying
 cant you see these hoes wont change ,bullying
 fuck no that bitch dont even suck dick  &;&;&; the kermit videos bout to fuck ig up,bullying
 got ya bitch tip toeing on my hardwood floors  &; http://tco/couwqlq,bullying
 her pussy lips like heaven doors  &;,bullying
 hoe what its hitting for ,bullying
 i met that pussy on ocean dr  i gave that pussy a pill  &;,bullying
 i need a trippy bitch who fuck on hennessy ,bullying
 i spend my money how i want bitch its my business ,bullying
 i txt my old bitch my new bitch pussy wetter ,bullying
 id say im back to the old me but my old bitches would get excited  &;,bullying
 if you aint bout that murder game pussy nigga shut up ,bullying
 if youre toes aint done you pussy stinks ,bullying
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,bullying
 is that ya bitch ,bullying
 it aint nothing to cut a bitch off ,bullying
 jus meet son now he ya mane ass bitches  shots,bullying
 lames crying over hoes thats tears of a clown ,bullying
 like snoop said in  we dont love these hoes ,bullying
 momma said no pussy cats inside my doghouse ,nonbullying
 most hated but the hoes favorite  mw sevenone  http://tco/bmdsvmcrc,bullying
 nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick http://tco/bzrdlkfu,bullying
 pimps up pimps up hoes down  future voice,bullying
 post a picture of that pussy get  likes ,bullying
 pussy is a powerful drug  &; happyhumpday http://tco/rjsymibb,bullying
 quick piece of pussy call it a drive by ,bullying
 running round here like some brand new pussy thats bout to get fucked ,bullying
 these bitches even worst theyll send them guys for you ,bullying
 these hoes like niggas that spend money not talk bout it ,bullying
 we dont trust these niggas all these bitches ,bullying
 yall niggas b cuffing hoes cause yall aint never have bitches ,bullying
 you dodge a bullet  &; &;darealkha: all da bitches i cut off pregnant or bound to be thank god &;&;,bullying
 young pill chamberlain these bitches love my music ,bullying
&;&;&;&;&;&;&;&;&;&;&;vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but,bullying
&;&;&;&;&;&;&;&;&;&;dahomiefuzz: gay niggas couldnt wait to act like bitches tonight,bullying
&;&;&;the_paradox: and ima steal his cat n replace it with a pitbull &;&;&;&; rt sbabylife: the_paradox he a bitch you should do it,bullying
&amp; hes gone always be a hoe,bullying
son of a bitch took my tic tacsi like this movie,bullying
all i wanna do is get money and fuck model bitches  russell simmons,bullying
seniorprobs: i probably wouldn&;t mind school as much if we didn&;t have to deal with bitch ass teachers retweet,bullying
axdemery: im a fucking fag they said,bullying
arizzleindacut: females think dating a pussy is cute now http://tco/vxbjggsz how does doing this stuff make him a pussy,bullying
addictedguys: simplyaddictedtoguys http://tco/jlhizmf woof woof hot scally lad,nonbullying
adorebellaaa: have ya ever asked your bitch for other bitches  kanye voice yes,bullying
adorezoey: how u gone bring ur side bitch to a game where you know ya gf friends at  &;&;&;&; i swear,bullying
allaboutmanfeet: http://tco/gzupfumev woof woof and hot soles,nonbullying
allyhaaaaa: lemmie eat a oreo &amp; do these dishes one oreo lol,nonbullying
